panel_name,loan_amount,total_loan
US MORTGAGE CORPORATION,3225,94932364
PATRIOT NB,3207,94932364
STERLING NB,3182,94932364
PLATINUM HOME MORTGAGE CORP,3167,94932364
NEW ENGLAND TEAMSTERS FCU,3163,94932364
FIRST TECH FCU,3159,94932364
EVERETT FINANCIAL INC.,3149,94932364
FARMERS B&TC,3137,94932364
HARTFORD FUNDING LTD,3119,94932364
POLISH NAT CU,3016,94932364
"CONTINENTAL HOME LOANS, INC",2944,94932364
"LIVE WELL FINANCIAL, INC.",2863,94932364
BANK FUND STAFF FCU,2862,94932364
"ONE REVERSE MORTGAGE, LLC",2832,94932364
NORTHWAY BK,2800,94932364
REVERSE MORTGAGE FUNDING LLC,2740,94932364
RESIDENTIAL MORTGAGE SOLUTIONS,2736,94932364
PEOPLES NB,2724,94932364
FINANCIAL RESOURCES FCU,2698,94932364
"AMERICAN EQUITY MORTGAGE, INC",2665,94932364
MAGNOLIA BK,2618,94932364
"LONGBRIDGE FINANCIAL, LLC",2580,94932364
WEST TOWN BANK & TRUST,2493,94932364
CAPE ANN SVG BK,2485,94932364
BROTHERHOOD CU,2395,94932364
GERSHMAN INVESTMENT CORPORATIO,2391,94932364
UMASSFIVE COLLEGE FCU,2347,94932364
STEPSTONE MORTGAGE COMPANY,2310,94932364
LSI MORTGAGE PLUS,2286,94932364
AMERICAN FINANCING CORPORATION,2251,94932364
EVERETT CU,2245,94932364
SECURITYNATIONAL MORTGAGE COMP,2206,94932364
FFC MORTGAGE CORP,2203,94932364
NORTH CAMBRIDGE CO-OP BK,2136,94932364
CAMBRIDGE PORTUGUESE CU,2073,94932364
EMPLOYERS REASSURANCE CORP,2050,94932364
AMERICAN FINANCE HOUSE LARIBA,2039,94932364
HAVERHILL BK,2008,94932364
NORTHWEST FCU,2007,94932364
WESTERN FCU,1970,94932364
FRONTIER BK,1940,94932364
SHREWSBURY FCU,1894,94932364
JUSTICE FCU,1890,94932364
MUTUAL OMAHA BK,1878,94932364
NASA FCU,1844,94932364
MIDWEST CMNTY BK,1842,94932364
WILMINGTON SVG FUND SCTY FSB,1839,94932364
UMB BK NA,1797,94932364
OPTIMA B&TC,1741,94932364
FIRST NB,1740,94932364
HOMEBANC NA,1737,94932364
